congress,start_date,chamber,state_abbrev,party_code,bioname,bioguide_id,birthday,cmltv_cong,cmltv_chamber,age_days,age_years,generation,party_name
92,1971-01-03,House,SD,100,"Abourezk, James George",A000017,1931-02-24,1,1,14558,39.8576317590691,Silent,Democratic Party
93,1973-01-03,Senate,SD,100,"Abourezk, James George",A000017,1931-02-24,2,1,15289,41.8590006844627,Silent,Democratic Party
94,1975-01-03,Senate,SD,100,"Abourezk, James George",A000017,1931-02-24,3,2,16019,43.8576317590691,Silent,Democratic Party
95,1977-01-03,Senate,SD,100,"Abourezk, James George",A000017,1931-02-24,4,3,16750,45.8590006844627,Silent,Democratic Party
92,1971-01-03,House,NY,100,"Abzug, Bella Savitzky",A000018,1920-07-24,1,1,18425,50.444900752909,Greatest,Democratic Party
93,1973-01-03,House,NY,100,"Abzug, Bella Savitzky",A000018,1920-07-24,2,2,19156,52.4462696783025,Greatest,Democratic Party
94,1975-01-03,House,NY,100,"Abzug, Bella Savitzky",A000018,1920-07-24,3,3,19886,54.444900752909,Greatest,Democratic Party
66,1919-03-04,House,NJ,200,"Ackerman, Ernest Robinson",A000021,1863-06-17,1,1,20348,55.709787816564,Missionary,Republican Party
67,1921-03-04,House,NJ,200,"Ackerman, Ernest Robinson",A000021,1863-06-17,2,2,21079,57.7111567419576,Missionary,Republican Party
68,1923-03-04,House,NJ,200,"Ackerman, Ernest Robinson",A000021,1863-06-17,3,3,21809,59.709787816564,Missionary,Republican Party
69,1925-03-04,House,NJ,200,"Ackerman, Ernest Robinson",A000021,1863-06-17,4,4,22540,61.7111567419576,Missionary,Republican Party
70,1927-03-04,House,NJ,200,"Ackerman, Ernest Robinson",A000021,1863-06-17,5,5,23270,63.709787816564,Missionary,Republican Party
71,1929-03-04,House,NJ,200,"Ackerman, Ernest Robinson",A000021,1863-06-17,6,6,24001,65.7111567419576,Missionary,Republican Party
72,1931-03-04,House,NJ,200,"Ackerman, Ernest Robinson",A000021,1863-06-17,7,7,24731,67.709787816564,Missionary,Republican Party
98,1983-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,1,1,14655,40.1232032854209,Silent,Democratic Party
99,1985-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,2,2,15386,42.1245722108145,Silent,Democratic Party
100,1987-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,3,3,16116,44.1232032854209,Silent,Democratic Party
101,1989-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,4,4,16847,46.1245722108145,Silent,Democratic Party
102,1991-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,5,5,17577,48.1232032854209,Silent,Democratic Party
103,1993-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,6,6,18308,50.1245722108145,Silent,Democratic Party
104,1995-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,7,7,19038,52.1232032854209,Silent,Democratic Party
105,1997-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,8,8,19769,54.1245722108145,Silent,Democratic Party
106,1999-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,9,9,20499,56.1232032854209,Silent,Democratic Party
107,2001-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,10,10,21230,58.1245722108145,Silent,Democratic Party
108,2003-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,11,11,21960,60.1232032854209,Silent,Democratic Party
109,2005-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,12,12,22691,62.1245722108145,Silent,Democratic Party
110,2007-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,13,13,23421,64.1232032854209,Silent,Democratic Party
111,2009-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,14,14,24152,66.1245722108145,Silent,Democratic Party
112,2011-01-03,House,NY,100,"Ackerman, Gary Leonard",A000022,1942-11-19,15,15,24882,68.1232032854209,Silent,Democratic Party
82,1951-01-03,House,IN,200,"Adair, Edwin Ross",A000024,1907-12-14,1,1,15726,43.0554414784394,Greatest,Republican Party
83,1953-01-03,House,IN,200,"Adair, Edwin Ross",A000024,1907-12-14,2,2,16457,45.056810403833,Greatest,Republican Party
84,1955-01-03,House,IN,200,"Adair, Edwin Ross",A000024,1907-12-14,3,3,17187,47.0554414784394,Greatest,Republican Party
85,1957-01-03,House,IN,200,"Adair, Edwin Ross",A000024,1907-12-14,4,4,17918,49.056810403833,Greatest,Republican Party
86,1959-01-03,House,IN,200,"Adair, Edwin Ross",A000024,1907-12-14,5,5,18648,51.0554414784394,Greatest,Republican Party
87,1961-01-03,House,IN,200,"Adair, Edwin Ross",A000024,1907-12-14,6,6,19379,53.056810403833,Greatest,Republican Party
88,1963-01-03,House,IN,200,"Adair, Edwin Ross",A000024,1907-12-14,7,7,20109,55.0554414784394,Greatest,Republican Party
89,1965-01-03,House,IN,200,"Adair, Edwin Ross",A000024,1907-12-14,8,8,20840,57.056810403833,Greatest,Republican Party
90,1967-01-03,House,IN,200,"Adair, Edwin Ross",A000024,1907-12-14,9,9,21570,59.0554414784394,Greatest,Republican Party
91,1969-01-03,House,IN,200,"Adair, Edwin Ross",A000024,1907-12-14,10,10,22301,61.056810403833,Greatest,Republican Party
73,1933-03-04,House,IL,100,"Adair, Jackson Leroy",A000025,1887-02-23,1,1,16810,46.0232717316906,Lost,Democratic Party
74,1935-01-03,House,IL,100,"Adair, Jackson Leroy",A000025,1887-02-23,2,2,17480,47.8576317590691,Lost,Democratic Party
68,1923-03-04,Senate,CO,100,"Adams, Alva Blanchard",A000028,1875-10-29,1,1,17292,47.3429158110883,Missionary,Democratic Party
73,1933-03-04,Senate,CO,100,"Adams, Alva Blanchard",A000028,1875-10-29,2,2,20945,57.3442847364819,Missionary,Democratic Party
74,1935-01-03,Senate,CO,100,"Adams, Alva Blanchard",A000028,1875-10-29,3,3,21615,59.1786447638604,Missionary,Democratic Party
75,1937-01-03,Senate,CO,100,"Adams, Alva Blanchard",A000028,1875-10-29,4,4,22346,61.1800136892539,Missionary,Democratic Party
76,1939-01-03,Senate,CO,100,"Adams, Alva Blanchard",A000028,1875-10-29,5,5,23076,63.1786447638604,Missionary,Democratic Party
77,1941-01-03,Senate,CO,100,"Adams, Alva Blanchard",A000028,1875-10-29,6,6,23807,65.1800136892539,Missionary,Democratic Party
89,1965-01-03,House,WA,100,"Adams, Brockman (Brock)",A000031,1927-01-13,1,1,13870,37.9739904175222,Greatest,Democratic Party
90,1967-01-03,House,WA,100,"Adams, Brockman (Brock)",A000031,1927-01-13,2,2,14600,39.9726214921287,Greatest,Democratic Party
91,1969-01-03,House,WA,100,"Adams, Brockman (Brock)",A000031,1927-01-13,3,3,15331,41.9739904175222,Greatest,Democratic Party
92,1971-01-03,House,WA,100,"Adams, Brockman (Brock)",A000031,1927-01-13,4,4,16061,43.9726214921287,Greatest,Democratic Party
93,1973-01-03,House,WA,100,"Adams, Brockman (Brock)",A000031,1927-01-13,5,5,16792,45.9739904175222,Greatest,Democratic Party
94,1975-01-03,House,WA,100,"Adams, Brockman (Brock)",A000031,1927-01-13,6,6,17522,47.9726214921287,Greatest,Democratic Party
95,1977-01-03,House,WA,100,"Adams, Brockman (Brock)",A000031,1927-01-13,7,7,18253,49.9739904175222,Greatest,Democratic Party
100,1987-01-03,Senate,WA,100,"Adams, Brockman (Brock)",A000031,1927-01-13,8,1,21905,59.9726214921287,Greatest,Democratic Party
101,1989-01-03,Senate,WA,100,"Adams, Brockman (Brock)",A000031,1927-01-13,9,2,22636,61.9739904175222,Greatest,Democratic Party
102,1991-01-03,Senate,WA,100,"Adams, Brockman (Brock)",A000031,1927-01-13,10,3,23366,63.9726214921287,Greatest,Democratic Party
79,1945-01-03,House,NH,200,"Adams, Sherman",A000046,1899-01-08,1,1,16796,45.9849418206708,Lost,Republican Party
73,1933-03-04,House,DE,100,"Adams, Wilbur Louis",A000050,1884-10-23,1,1,17663,48.3586584531143,Lost,Democratic Party
87,1961-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,1,1,13076,35.8001368925394,Greatest,Democratic Party
88,1963-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,2,2,13806,37.7987679671458,Greatest,Democratic Party
89,1965-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,3,3,14537,39.8001368925394,Greatest,Democratic Party
90,1967-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,4,4,15267,41.7987679671458,Greatest,Democratic Party
91,1969-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,5,5,15998,43.8001368925394,Greatest,Democratic Party
92,1971-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,6,6,16728,45.7987679671458,Greatest,Democratic Party
93,1973-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,7,7,17459,47.8001368925394,Greatest,Democratic Party
94,1975-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,8,8,18189,49.7987679671458,Greatest,Democratic Party
95,1977-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,9,9,18920,51.8001368925394,Greatest,Democratic Party
96,1979-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,10,10,19650,53.7987679671458,Greatest,Democratic Party
97,1981-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,11,11,20381,55.8001368925394,Greatest,Democratic Party
98,1983-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,12,12,21111,57.7987679671458,Greatest,Democratic Party
99,1985-01-03,House,NY,100,"Addabbo, Joseph Patrick",A000052,1925-03-17,13,13,21842,59.8001368925394,Greatest,Democratic Party
81,1949-01-03,House,NJ,100,"Addonizio, Hugh Joseph",A000054,1914-01-31,1,1,12756,34.9240246406571,Greatest,Democratic Party
82,1951-01-03,House,NJ,100,"Addonizio, Hugh Joseph",A000054,1914-01-31,2,2,13486,36.9226557152635,Greatest,Democratic Party
83,1953-01-03,House,NJ,100,"Addonizio, Hugh Joseph",A000054,1914-01-31,3,3,14217,38.9240246406571,Greatest,Democratic Party
84,1955-01-03,House,NJ,100,"Addonizio, Hugh Joseph",A000054,1914-01-31,4,4,14947,40.9226557152635,Greatest,Democratic Party
85,1957-01-03,House,NJ,100,"Addonizio, Hugh Joseph",A000054,1914-01-31,5,5,15678,42.9240246406571,Greatest,Democratic Party
86,1959-01-03,House,NJ,100,"Addonizio, Hugh Joseph",A000054,1914-01-31,6,6,16408,44.9226557152635,Greatest,Democratic Party
87,1961-01-03,House,NJ,100,"Addonizio, Hugh Joseph",A000054,1914-01-31,7,7,17139,46.9240246406571,Greatest,Democratic Party
105,1997-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,1,1,11488,31.4524298425736,Gen X,Republican Party
106,1999-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,2,2,12218,33.45106091718,Gen X,Republican Party
107,2001-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,3,3,12949,35.4524298425736,Gen X,Republican Party
108,2003-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,4,4,13679,37.45106091718,Gen X,Republican Party
109,2005-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,5,5,14410,39.4524298425736,Gen X,Republican Party
110,2007-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,6,6,15140,41.45106091718,Gen X,Republican Party
111,2009-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,7,7,15871,43.4524298425736,Gen X,Republican Party
112,2011-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,8,8,16601,45.45106091718,Gen X,Republican Party
113,2013-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,9,9,17332,47.4524298425736,Gen X,Republican Party
114,2015-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,10,10,18062,49.45106091718,Gen X,Republican Party
115,2017-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,11,11,18793,51.4524298425736,Gen X,Republican Party
116,2019-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,12,12,19523,53.45106091718,Gen X,Republican Party
117,2021-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,13,13,20254,55.4524298425736,Gen X,Republican Party
118,2023-01-03,House,AL,200,"Aderholt, Robert",A000055,1965-07-22,14,14,20984,57.45106091718,Gen X,Republican Party
69,1925-03-04,House,IL,200,"Adkins, Charles",A000057,1863-02-07,1,1,22670,62.0670773442847,Missionary,Republican Party
70,1927-03-04,House,IL,200,"Adkins, Charles",A000057,1863-02-07,2,2,23400,64.0657084188912,Missionary,Republican Party
71,1929-03-04,House,IL,200,"Adkins, Charles",A000057,1863-02-07,3,3,24131,66.0670773442847,Missionary,Republican Party
72,1931-03-04,House,IL,200,"Adkins, Charles",A000057,1863-02-07,4,4,24861,68.0657084188912,Missionary,Republican Party
77,1941-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,1,1,17667,48.3696098562628,Lost,Republican Party
78,1943-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,2,2,18397,50.3682409308693,Lost,Republican Party
79,1945-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,3,3,19128,52.3696098562628,Lost,Republican Party
80,1947-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,4,4,19858,54.3682409308693,Lost,Republican Party
81,1949-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,5,5,20589,56.3696098562628,Lost,Republican Party
82,1951-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,6,6,21319,58.3682409308693,Lost,Republican Party
83,1953-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,7,7,22050,60.3696098562628,Lost,Republican Party
84,1955-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,8,8,22780,62.3682409308693,Lost,Republican Party
85,1957-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,9,9,23511,64.3696098562628,Lost,Republican Party
86,1959-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,10,10,24241,66.3682409308693,Lost,Republican Party
87,1961-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,11,11,24972,68.3696098562628,Lost,Republican Party
88,1963-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,12,12,25702,70.3682409308693,Lost,Republican Party
89,1965-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,13,13,26433,72.3696098562628,Lost,Republican Party
90,1967-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,14,14,27163,74.3682409308693,Lost,Republican Party
91,1969-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,15,15,27894,76.3696098562628,Lost,Republican Party
92,1971-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,16,16,28624,78.3682409308693,Lost,Republican Party
93,1973-01-03,Senate,VT,200,"Aiken, George David",A000062,1892-08-20,17,17,29355,80.3696098562628,Lost,Republican Party
95,1977-01-03,House,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,1,1,19107,52.3121149897331,Greatest,Democratic Party
96,1979-01-03,House,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,2,2,19837,54.3107460643395,Greatest,Democratic Party
97,1981-01-03,House,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,3,3,20568,56.3121149897331,Greatest,Democratic Party
98,1983-01-03,House,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,4,4,21298,58.3107460643395,Greatest,Democratic Party
99,1985-01-03,House,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,5,5,22029,60.3121149897331,Greatest,Democratic Party
100,1987-01-03,House,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,6,6,22759,62.3107460643395,Greatest,Democratic Party
101,1989-01-03,House,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,7,7,23490,64.3121149897331,Greatest,Democratic Party
102,1991-01-03,Senate,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,8,1,24220,66.3107460643395,Greatest,Democratic Party
103,1993-01-03,Senate,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,9,2,24951,68.3121149897331,Greatest,Democratic Party
104,1995-01-03,Senate,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,10,3,25681,70.3107460643395,Greatest,Democratic Party
105,1997-01-03,Senate,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,11,4,26412,72.3121149897331,Greatest,Democratic Party
106,1999-01-03,Senate,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,12,5,27142,74.3107460643395,Greatest,Democratic Party
107,2001-01-03,Senate,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,13,6,27873,76.3121149897331,Greatest,Democratic Party
108,2003-01-03,Senate,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,14,7,28603,78.3107460643395,Greatest,Democratic Party
109,2005-01-03,Senate,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,15,8,29334,80.3121149897331,Greatest,Democratic Party
110,2007-01-03,Senate,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,16,9,30064,82.3107460643395,Greatest,Democratic Party
111,2009-01-03,Senate,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,17,10,30795,84.3121149897331,Greatest,Democratic Party
112,2011-01-03,Senate,HI,100,"Akaka, Daniel Kahikina",A000069,1924-09-11,18,11,31525,86.3107460643395,Greatest,Democratic Party
75,1937-01-03,House,OH,200,"Albaugh, Walter Hugh",A000072,1890-01-02,1,1,17167,47.0006844626968,Lost,Republican Party
80,1947-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,1,1,14117,38.6502395619439,Greatest,Democratic Party
81,1949-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,2,2,14848,40.6516084873374,Greatest,Democratic Party
82,1951-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,3,3,15578,42.6502395619439,Greatest,Democratic Party
83,1953-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,4,4,16309,44.6516084873374,Greatest,Democratic Party
84,1955-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,5,5,17039,46.6502395619439,Greatest,Democratic Party
85,1957-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,6,6,17770,48.6516084873374,Greatest,Democratic Party
86,1959-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,7,7,18500,50.6502395619439,Greatest,Democratic Party
87,1961-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,8,8,19231,52.6516084873374,Greatest,Democratic Party
88,1963-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,9,9,19961,54.6502395619439,Greatest,Democratic Party
89,1965-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,10,10,20692,56.6516084873374,Greatest,Democratic Party
90,1967-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,11,11,21422,58.6502395619439,Greatest,Democratic Party
91,1969-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,12,12,22153,60.6516084873374,Greatest,Democratic Party
92,1971-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,13,13,22883,62.6502395619439,Greatest,Democratic Party
93,1973-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,14,14,23614,64.6516084873374,Greatest,Democratic Party
94,1975-01-03,House,OK,100,"Albert, Carl Bert",A000073,1908-05-10,15,15,24344,66.6502395619439,Greatest,Democratic Party
96,1979-01-03,House,MI,100,"Albosta, Donald Joseph",A000076,1925-12-05,1,1,19387,53.07871321013,Greatest,Democratic Party
